,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time,R0,R1,R2,R3,V0,V1,V2,V3,Temperature,Sample Time,Cap,Motor Position,Calculated Strain,Corrected R b,Corrected R a,Delta,R,angle,strain_aprox,Passive Corrected R,Passive Corrected R b
1431,1431,1431,1431,300.4781460762024,667.6242,1030.4044,962.1252,194521.6875,1370.4446,1725.7039,1669.1925,3284.1299,24.84,0.199985,64.0,7621.0,0.0008742220459209108,1649.9892903327084,1650.2212402694947,3737.0,1.14667048019802,0.16151216697982748,0.002833829202925376,0.17179679514333654,158.78710238449275
1432,1432,1432,1432,300.6779935359955,667.6219,1030.4094,962.1353,194425.5156,1370.4418,1725.7079,1669.2012,3284.1221,24.87,0.199987,64.0,7679.0,0.000887785199954817,1650.0003196218524,1650.2329795464002,3795.0,1.1292031653491437,0.16401612447108488,0.002894914432380249,0.17781630019885594,100.87512195901945
1433,1433,1433,1433,300.87790608406067,667.6242,1030.3981,962.1303,194458.5625,1370.4446,1725.6989,1669.1969,3284.1248,24.84,0.199986,64.0,7737.0,0.0009013483539887233,1649.9978411659865,1650.2100297814795,3853.0,1.1122626017389046,0.16651995335327407,0.00295652143167672,0.16549679514355375,114.98146771406755
1434,1434,1434,1434,301.0777819156647,667.6164,1030.3995,962.1307,194497.6406,1370.4352,1725.7,1669.1973,3284.1279,24.86,0.199987,64.0,7799.0,0.0009158468979560023,1649.9894975113916,1650.2221597263415,3915.0,1.0947097349936143,0.16919631566186266,0.0030229541157692466,0.170354247070577,155.57481205416843
1435,1435,1435,1435,301.2876904010772,667.6229,1030.407,962.1274,194428.5312,1370.443,1725.7059,1669.1945,3284.1223,24.84,0.199989,64.0,7861.0,0.0009303454419232812,1650.0064762530758,1650.2274732198919,3977.0,1.0777051205682675,0.17187252639628553,0.0030899828922930444,0.17497303713128076,73.96464625233784
1436,1436,1436,1436,301.47946190834045,667.6242,1030.4031,962.1224,194512.6875,1370.4446,1725.7028,1669.1902,3284.1292,24.85,0.199985,64.0,7924.0,0.0009450778333739037,1649.9935339065332,1650.2189270066656,4040.0,1.0609618316831682,0.17459174410506614,0.0031587033009734173,0.17049679514343552,139.18039200780913
1437,1437,1437,1437,301.6804075241089,667.6187,1030.4099,962.1224,194500.6562,1370.4379,1725.7083,1669.1902,3284.1282,24.84,0.199989,64.0,7982.0,0.0009586409874078098,1649.9959971555832,1650.2378235949775,4098.0,1.0460033679843823,0.17709500819370744,0.0032225137309579463,0.1797347420152846,127.14909200789407
1438,1438,1438,1438,301.8803033828736,667.6151,1030.4192,962.1192,194476.6094,1370.4336,1725.7157,1669.1874,3284.1262,24.86,0.199984,64.0,8039.0,0.0009719702939583727,1650.003664334985,1650.2588205948114,4155.0,1.0317104723225028,0.17955497733663267,0.003285732056794032,0.1906304890584352,90.98033729102463
1439,1439,1439,1439,302.08383560180664,667.6288,1030.4132,962.1281,194449.5469,1370.4501,1725.7109,1669.1949,3284.124000000001,24.85,0.199987,64.0,8101.0,0.000986468837925652,1650.0015734074009,1650.2312147929413,4217.0,1.0166034015888072,0.1822305788752861,0.003355067653318164,0.1785577850324671,97.63202384673059
1440,1440,1440,1440,302.28616380691534,667.618,1030.4265,962.1252,194413.5,1370.4371,1725.7216,1669.1925,3284.1211,24.85,0.199987,64.0,8159.0,0.001000031991959558,1650.0114400731507,1650.2682262762562,4275.0,1.0028684941520467,0.18473341328452852,0.0034204693340104692,0.19664502616240045,50.599602384492755
1441,1441,1441,1441,302.47607588768005,667.6314,1030.4247,962.1417,194467.5938,1370.4532,1725.7201,1669.2067,3284.1255,24.85,0.199989,64.0,8221.0,0.001014530535926837,1649.986217021792,1650.24846474401,4337.0,0.9885934481208208,0.18740869685108424,0.003490957954298156,0.18890530105693412,167.19723139191046
1442,1442,1442,1442,302.68718934059143,667.6166,1030.4197,962.1229,194476.6094,1370.4355,1725.7161,1669.1906,3284.1262,24.84,0.199984,64.0,8279.0,0.0010280936899607432,1650.0004916572852,1650.257856670321,4395.0,0.9756047810011376,0.1899112296352915,0.003557438147383368,0.1904655944570095,104.99634743202478
1443,1443,1443,1443,302.87744426727295,667.613,1030.4292,962.1266,194380.4688,1370.4312,1725.7236,1669.1937,3284.1184,24.87,0.199989,64.0,8341.0,0.0010425922339280225,1650.0170021224355,1650.2792092014208,4457.0,0.9620950021314784,0.1925861863220568,0.003629079527873664,0.2015613415004509,22.87175757344812
1444,1444,1444,1444,303.0873019695282,667.618,1030.4292,962.134,194317.4375,1370.4371,1725.7236,1669.2001,3284.1133,24.86,0.199985,64.0,8399.0,0.0010561553879619282,1650.0235611453666,1650.2730304954375,4515.0,0.9497934911406424,0.19508840915127248,0.0036966379846681283,0.1993450261624048,-12.1275221449323
1445,1445,1445,1445,303.27721929550165,667.6146,1030.4241,962.1353,194419.5156,1370.4331,1725.7196,1669.2012,3284.1216,24.85,0.199987,64.0,8461.0,0.0010706539319292076,1650.0015480165928,1650.268157350758,4577.0,0.9369891772995412,0.19776303005711213,0.003769431857254925,0.19575212059214664,94.87512195901945
1446,1446,1446,1446,303.48881316185003,667.6196,1030.4227,962.1206,194515.6875,1370.4391,1725.7185,1669.1886,3284.1294,24.86,0.199986,64.0,8519.0,0.0010842170859631137,1649.9944631592953,1650.2594875590432,4635.0,0.9253218149946062,0.2002649346075968,0.00383806832482568,0.19213580525445195,135.36179247964174
1447,1447,1447,1447,303.6787159442902,667.6097,1030.4211,962.1252,194482.6094,1370.4272,1725.7173,1669.1925,3284.1267,24.84,0.199986,64.0,8581.0,0.0010987156299303927,1649.997291046233,1650.2688744312572,4697.0,0.9131692366404088,0.2029392108381096,0.0039120144168631075,0.1949241096234573,119.70900238445029
